Category,Name,Module,Submodule,Action,How easy is it to do? [1-5],How easy is it to do? [1-5],Pop-Up,Social Media,Target,Level,Image
User Profile,Sign Up,,,Sign up (email/username and password) ,1 - very easy,1,Welcome to AIcrowd! Buckle up for an exciting AI adventure! Check out our challenges.,I joined a community of innovative AI problem solvers @AIcrowdHQ. Find out cool AI and ML challenges on aicrowd.com. ,1,4,User profile_Sign Up_first
User Profile,Completed Bio-Profile,,,Completing Bio and profile picture,2 - requires minimal effort,2,Thank you for filling your AIcrowd profile! Have you shared links to your favourite projects on your profile yet?,"Hi, check out my profile on aicrowd.com. Follow me for notebooks and solutions of exciting AI challenges.  ",1,4,/assets/first_badges/User profile_bio_first
User Profile,Completed Country,,,Fill up details on country,1 - very easy,1,"Congratulations, you're part of our international AIcrew team! Find more AIcrowd users from your country [link to discord ""welcome"" channel]",[ not sharable on social media ] ,1,4,/assets/first_badges/User profile_Country_first
User Profile,Completed Portfolio/Links,,,Filling up details on portfolio/links,2 - requires minimal effort,2,You're a social animal! Thanks for sharing your work with the community. Check out projects and resources by others. ,Find my projects links and more on aicrowd.com. ,1,4,/assets/first_badges/User profile_links_first
Community,Followed First Member,,,Followed their first AIcrew member,1 - very easy,1,Congratulations for making your first AIcrew friend! Find more people with similar interests to follow over here [discord server link],[ not shareable on social media],1,4,/assets/first_badges/community_follow_first
Community,Got First Follower,,,Got their first AIcrew follower,2 - requires minimal effort,2,"Congratulations on your first follower, you're one step closer to being an AI influencer [emoji?]! Say hi to your new friend by following them back.","I got my first AIcrowd follower. Want to know about my latest notebooks and AI solutions, check out my profile and follow to stay updated [link]",1,4,/assets/first_badges/community_follower_first
Community,Liked First Blog,,,Liked a blogpost,1 - very easy,1,"Hey, thanks for letting us know what you like to read. I hope you're enjoying these blogs. What would you like to see in our future blogs? [link to a suggestion form]",I enjoyed reading this blogpost by @AIcrowdHQ [link]. Definitely worth a read! ,1,4,/assets/first_badges/community_like_first
Community,First Feedback,,,Reported their first feedback,2 - requires minimal effort,2,"We appreciate your effforts to make AIcrowd better. Thanks for your feedback. We'll try our best to incorporate it. For more urgent issues, leave a message on our (discourse) or tweet us @AIcrowdHQ.",[ not sharable on SM],1,4,/assets/first_badges/community_feedback_first
Community,First Townhall/Workshop,,,Attended their first townhall/workshop/live-event,3 - requires modest effort ,3,Congratulations on attending your first live AIcrowd event! I hope you had a fun time learning and connecting with community members. Have you checked out the group-selfie yet? [link to the twitter],I participated in my first @AIcrowdHQ live-event and it was fun! Great time learning and connecting with like-minded AI community members. Find me in this selfie! [option to download the image of the event selfie],1,4,/assets/first_badges/community_live_first
Competition + Community,Made First Team,,,Made their first team,2 - requires minimal effort,2,"Woohoo, you're a team players! Congratulation on your first team. All the best to you and your teammates [emoji]", I teamed up with a fellow AIcrew member for my newest challenges. Solving AI puzzles on @AIcrowdHQ is better together. Here’s what I am talking about [link to the puzzle],1,4,
Challenge,Liked First Challenge,Like,Active,Liked first challenge,1,,You liked your first challenge,N/A,1,4,/assets/challenge_badges/challenges_like_Active_first
Challenge,Shared First Challenge,Share,Active,Shared first challenge,1,,You shared your first challenge,N/A,1,4,/assets/challenge_badges/challenges_Share_Active_first
Challenge,Followed First Challenge,Follow,Active,Followed first challenge ,1,,You followed your first challenge ,N/A,1,4,/assets/challenge_badges/challenges_follow_Active_first
Challenge,Accepted First Rules,Rules,Active,Accepted rules for first challenge ,1,,You accepeted the rules for the first challenge ,N/A,1,4,/assets/challenge_badges/challenges_rules_Active_first
Challenge,Participated First Challenge,Participate,Active,You participated in your first challenge,1,,You participated in your first challenge! ,I just participated in my first @AIcrowdHQ challenge. Check it out [link],1,4,/assets/challenge_badges/challenges_participate_Active_first
Challenge,First Submission,Submit,Active,Made their first submission,1,,"Yay, you made your first submission. ",I just made my first submission on @AIcrowdHQ. Find the code here ,1,4,/assets/challenge_badges/challenges_submit_Active_first
Challenge,First Submission With Baseline,Submit,Active,Made their first submission using baseline,1,,Good job on making your first submission using baseline!,I made my first @AIcrowdHQ submission using a baseline. It's so easy to make AI submission using it. Check it out [link],1,4,/assets/challenge_badges/challenges_baseline_submission_Active_first
Challenge,First Successful Submission,Submit,Active,Made their first successful submission,2,,"Woohoo, you made your first successful submission!","Woohoo, I made my first sucessful submission on @AIcrowdHQ! Find the code on my profile [link]",1,4,/assets/challenge_badges/challenges_successful_submission_Active_first
Practise Problems,Liked First Practice Problem,Like,Active,Liked first practise problem,1,,You liked your first practise problem,N/A,1,4,/assets/challenge_badges/practice_problem_like_Active_first
Practise Problems,Shared First Practice Problem,Share,Active,Shared first practise problem,1,,You shared your first practise problem.,N/A,1,4,/assets/challenge_badges/practice_problem_Share_Active_first
Practise Problems,Followed First Practice Problem,Follow,Active,Followed first practise problem,1,,You followed your first practise problem.,N/A,1,4,/assets/challenge_badges/practice_problem_follow_Active_first
Practise Problems,Participated First Practice Problem,Participate,Active,You participated in your first practise problem,1,,You participated in your first practise problem.,I just participated in my first @AIcrowdHQ practise. Check it out [link],1,4,/assets/challenge_badges/practice_problem_participate_Active_first
Notebooks,Created First Notebook,Creation,Active,You created your first notebook ,2,,"Yay, you’ve created your first notebook! You’re only two more notebooks away from winning your bronze badge. Keep up the good work",I created my first notebook on @AIcrowdHQ. Check it out [link],1,4,/assets/notebook_badges/Notebook_Creation_Active_first
Notebooks,Shared First Notebook,Share,Active,You shared your 1st notebook,1,,Look at you interacting with the community! You are 9 more shares away from winning your bronze badge. Keep at it. :),"I find this notebook on @AIcrowdHQ very interesting, check it out. [link]",1,4,/assets/notebook_badges/Notebook_Share_Active_first
Notebooks,Notebook Shared First Time,Share,Passive,Your notebook was shared 1 time,1,,"Woohoo! Your notebook was shared by a community member. Keep creating amazing resources, the AIcrew community loved it. :)",My notebook was shared on AIcrowd. Give it a look [link],1,4,/assets/notebook_badges/Notebook_Share_passive_first
Notebooks,Liked First Notebook,Liking,Active,You liked 1 notebook,1,,We grow by appreciating work of others. Good to see you interact with resources created by community members. You are 9 more likes away from unlocking bronze badge. Keep up the good work! ,I liked this notebook on @AIcrowdHQ [link],1,4,/assets/notebook_badges/Notebook_like_Active_first
Notebooks,Notebook got first like,Liking,Passive,Your notebook got 1st like,1,,"Yay, your notebook received a like! The community appreciates your contributions. Keep creating and sharing your resources with us. :) ","My notebook was liked by @AIcrowdHQ community member, check it out [link]",1,4,/assets/notebook_badges/Notebook_like_passive_first
