name,description,badge_type_id,created_at,updated_at,code,badges_event_id,image,level,target,social_message,sub_module,active
Basic User,"",4,2020-05-16 09:29:34 UTC,2020-07-02 15:54:28 UTC,"",5,,,,,,true
Certified,"",4,2020-05-16 09:29:34 UTC,2020-06-24 15:50:49 UTC,"",1,,,,,,true
First Onebox,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Wiki Editor,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
First Reply By Email,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Licensed,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
New User of the Month,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
First Quote,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Popular Link,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Aficionado,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Trustable,Has filled their profile page,3,2020-05-16 09:21:48 UTC,2020-07-15 13:01:43 UTC,"@participant.add_badge(""Trustable"")",1,,,,,,true
Newtonian,Kudos! You've won a bronze badge in this challenge. Keep up the great work!,3,2020-05-16 09:21:49 UTC,2020-07-21 12:00:14 UTC," challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round
if max_rank <= 250
  if participant_ranks>=0.2 && participant_ranks < 0.4
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks >=0.05 && participant_ranks < 0.1
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
end",6,,,,,,true
test_badge,test,1,2020-05-16 09:21:49 UTC,2020-05-16 09:21:49 UTC,"",1,,,,,,true
Rookie,You've made your first successful submission with us. Keep going!,4,2020-05-16 09:21:48 UTC,2020-06-06 14:58:12 UTC,"if Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Learner"")
end",1,,,,,,true
Enduring,You've made more than 10 submissions. Here's a bronze badge for you!,3,2020-05-16 09:21:48 UTC,2020-06-06 14:58:04 UTC,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 10
    Participant.find_by(id: participant_id).add_badge(""bronze-submitter"")
  end
end",1,,,,,,true
Beginner,You've made your first submission with us. Keep the learning coming in!,4,2020-05-16 09:21:48 UTC,2020-06-06 14:58:18 UTC,"if Submission.where(participant_id: participant_id).count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Beginner"")
end",1,,,,,,true
BeastMode,Wow! You've made over 1000 successful submissions. Here's a gold badge for you. Keep going!,1,2020-05-16 09:21:48 UTC,2020-06-06 14:58:24 UTC,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 1000
    Participant.find_by(id: participant_id).add_badge(""gold-submitter"")
  end
end",1,,,,,,true
