Category,id,Name,sub_module,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Profile,,Autobiographer,discussion,One-off Action,Active,Autobiographer - fills up the profile info,1,Bronze,Good job on filling up the bio. Others can find you easily now!,N/A,,,
Profile,,,discussion,One-off Action,Active,Certified - filled up new discoure tutorial ,1,Bronze,"You went through the discourse tutorial, you're all ready for the community now!",N/A,,,
Profile,,,discussion,One-off Action,Active,Editor - Edits first post ,1,Bronze,You have edited your first post,N/A,,,
Activity,,,discussion,Time Frequency ,Active,Enthusiast - Visited 7 consecutive days ,1,Bronze,You must really like us. Here's your badge for visited us 7 consecutive days!,I unlocked a bronze badge by interacting on @AIcrowdHQ forums for a week! Check out the forum here [link],,,
Activity,,,discussion,Time Frequency ,Active,Afficionado - Visited 15 consecutive days ,2,Silver,"We love a regular participant. Congratulations for 15 consecutive days, here's your badge. ",I unlocked a silver badge by interacting on @AIcrowdHQ forums for a fortnight! Check out the forum here [link],,,
Activity,,,discussion,Time Frequency ,Active,Devotee - Visited 30 consecutive days ,3,Gold,"Wow, thank you for your enthusiasm. Here's a golden badge for visiting 30 consecutive days.",I unlocked a gold badge by interacting on @AIcrowdHQ forums for a whole month! Check out the forum here [link],,,
Post,1105,Liked Topic,discussion,Topic,Active,Likes 10 topics,1,Bronze,You liked 10 topics. Here's your bronze badge. 10 more left to unlock next level,I received a bronze medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],10,1,post_like_Active_bronze
Post,1106,Liked Topic,discussion,Topic,Active,Likes 20 topics,2,Silver,You liked 20 topics. Here's your silver badge. 20 more left to unlock next level,I received a silver medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],20,2,post_like_Active_bronze
Post,1107,Liked Topic,discussion,Topic,Active,Likes 40 topics ,3,Gold,You liked 40 topics. Here's your gold badge. ,I received a gold medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],40,3,post_like_Active_bronze
Post,,,discussion,Topic,Passive,Gets 5 likes,1,Bronze,Your topic received 5 likes. Here's your bronze badge!,My post received 5 likes on @AIcrowdHQ forum! I also unlocked a bronze badge! Check out my contribution to AI discussions. :) [link],,,post_like_passive_bronze
Post,1103,Topic got likes,discussion,Topic,Passive,Gets 20 likes,2,Silver,Your topic received 20 likes. Here's your silver badge!,My post received 20 likes on @AIcrowdHQ forum! I also unlocked a silver badge! Check out my contribution to AI discussions. :) [link],20,2,post_like_passive_bronze
Post,1104,Topic got likes,discussion,Topic,Passive,Gets 35 likes,3,Gold,Your topic received 35 likes. Here's your gold badge!,My post received 35 likes on @AIcrowdHQ forum! I also unlocked a gold badge! Check out my contribution to AI discussions. :) [link],35,3,post_like_passive_bronze
Post,1108,Liked Replies,discussion,Reply,Active,Likes 10 replies,1,Bronze,We love an active community member. Here's a bronze badge for liking 10 replies.,I received a bronze badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],10,1,post_comment_Active_bronze
Post,1109,Liked Replies,discussion,Reply,Active,Likes 20 replies,2,Silver,We love an active community member. Here's a silver badge for liking 20 replies.,I received a silver badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],20,2,post_comment_Active_bronze
Post,1110,Liked Replies,discussion,Reply,Active,Likes 40 replies ,3,Gold,We love an active community member. Here's a gold badge for liking 40 replies.,I received a gold badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],40,3,post_comment_Active_bronze
Post,1111,Reply got likes,discussion,Reply,Passive,Gets 5 likes,1,Bronze,The community enjoys interacting with you. Here's a bronze badge for 5 likes on replies.,I received a bronze badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],5,1,post_comment_passive_bronze
