name,description,badge_type_id,code,badges_event_id,image,level,target,social_message,sub_module,active,Points Flow Checked/Fixed,Target Checked/Fixed,Description Checked,Badge Flow Checked
Participated In Practice Challenge,Big moves! You have participated in 10 practice problem! Here's a bronze medal to celebrate!,4,,5,/assets/challenge_badges/practice_problem_participate_Active_bronze.png,1,10,I unlocked the bronze badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated In Practice Challenge,Keep it up! You've participated in 20 practice problem. Here's a silver medal to celebrate.,4,,5,/assets/challenge_badges/practice_problem_participate_Active_silver.png,2,20,I unlocked the silver badge for participating in 20 @AIcrowdHQ practise problems. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated In Practice Challenge,"Congratulations, you've participated in 30 practice problem. Here's a gold medal to celebrate!",4,,5,/assets/challenge_badges/practice_problem_participate_Active_gold.png,3,30,"Woohoo, I unlocked the gold badge for participating in 30 @AIcrowdHQ practise problems! Check out my profile to know more [link]",challenge,TRUE,,YES,YES,
Shared Practice Problem,You shared 5 practice problem,4,,5,/assets/challenge_badges/practice_problem_Share_Active_bronze.png,1,15,N/A,challenge,TRUE,,YES,YES,
Shared Practice Problem,You shared 15 practice problem,4,,5,/assets/challenge_badges/practice_problem_Share_Active_silver.png,2,35,N/A,challenge,TRUE,,YES,YES,
Top of Leaderboard,"Good job, you are top third participant on the leaderboard. Woohoo, here's your bronze badge!",4,,5,/assets/challenge_badges/challenges_Win_Active_bronze.png,1,3,I received a bronze badge for being the top third participant on leaderboard. Find my code here [link],challenge,FALSE,,,,
Made Successful Submission,"Good job, you've made 80 submissions. Here's your gold badge. ",4,,5,/assets/challenge_badges/challenges_successful_submission_Active_gold.png,3,80,I unlocked gold badge for making 80 successful submissions. Know more about my journey here [link],challenge,FALSE,,,,
Participated Challenge,Big moves! You have participated in 3 challenges! Here's a bronze medal to celebrate!,4,,5,/assets/challenge_badges/challenges_participate_Active_bronze.png,1,3,I unlocked the bronze badge for participating in 5 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Made Successful Submission,Baby steps! You've made 20 submission unlocking bronze badge. Keep them coming!,4,,5,/assets/challenge_badges/challenges_successful_submission_Active_bronze.png,1,20,I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],challenge,FALSE,,,,
Liked Practice Problem,You liked 30 practice problem,4,,5,/assets/challenge_badges/practice_problem_like_Active_gold.png,3,20,@AIcrowdHQ has a great collection of practise problems. Check out some of my liked challenges over here [link],challenge,FALSE,,,,
Participated Challenge,Keep it up! You've participated in 9 challenges. Here's a silver medal to celebrate.,4,,5,/assets/challenge_badges/challenges_participate_Active_silver.png,2,9,I unlocked the silver badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated Challenge,"Congratulations, you've participated in 21 challenges. Here's a gold medal to celebrate!",4,,5,/assets/challenge_badges/challenges_participate_Active_gold.png,3,21,"Woohoo, I unlocked the gold badge for participating in 40 @AIcrowdHQ challenges! Check out my profile to know more [link]",challenge,TRUE,,YES,YES,
Made Submission,"Good job, you've made 10 submission unlocking bronze badge.",4,,5,/assets/challenge_badges/challenges_submit_Active_bronze.png,1,10,I have made 10 submissions on @AIcrowdHQ and unlocked the bronze badge!,challenge,TRUE,,YES,YES,
Made Submission,"Good job, you've made 100 submission unlocking silver badge.",4,,5,/assets/challenge_badges/challenges_submit_Active_silver.png,2,100,I have made 100 submissions on @AIcrowdHQ and unlocked the silver badge!,challenge,TRUE,,YES,YES,
