,Name,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Challenge ,Liked Challenge,Like,Active,You liked 5 challenges ,1,Bronze,You liked 5 challenges.,N/A,5,1,challenges_like_Active_bronze
Challenge ,Liked Challenge,Like,Active,You liked 10 challenges ,2,Silver,You liked 10 challenges.,N/A,10,2,challenges_like_Active_silver
Challenge ,Liked Challenge,Like,Active,You liked 20 challenges ,3,Gold,You liked 20 challenges,@AIcrowdHQ has a great collection of challenges. Check out some of my liked challenges over here [link],20,3,challenges_like_Active_gold
Challenge ,Shared Challenge,Share,Active,You shared 5 challenges,1,Bronze,You shared 5 challenges.,N/A,5,1,challenges_Share_Active_bronze
Challenge ,Shared Challenge,Share,Active,You shared 15 challenges,2,Silver,You shared 15 challenges.,N/A,15,2,challenges_Share_Active_silver
Challenge ,Shared Challenge,Share,Active,You shared 35 challenges ,2,Gold,You shared 35 challenges.,I unlocked the gold badge for sharing cool challenges on @AIcrowdHQ. Here are some of my favourites [link],35,3,challenges_Share_Active_gold
Challenge ,Followed Challenge,Follow,Active,You followed 5 challenges,1,Bronze,You followed 5 challenges,N/A,5,1,challenges_follow_Active_bronze
Challenge ,Followed Challenge,Follow,Active,You followed 10 challenges,2,Silver,You followed 10 challenges,N/A,10,2,challenges_follow_Active_silver
Challenge ,Followed Challenge,Follow,Active,You followed 20 challenges ,2,Gold,You followed 20 challenges ,I unlocked the gold badge for following interesting AI challenges on @AIcrowdHQ. Here are some of my favourites [link],20,3,challenges_follow_Active_gold
Challenge ,Participated Challenge,Participate,Active,You participated in 5 challenges,2,Bronze,Big moves! You have participated in 5 challenges! Here's a bronze medal to celebrate!,I unlocked the bronze badge for participating in 5 @AIcrowdHQ challenges. Check out my profile to know more [link],5,1,challenges_participate_Active_bronze
Challenge ,Participated Challenge,Participate,Active,You participated in 10 challenges,3,Silver,Keep it up! You've participated in 10 challenges. Here's a silver medal to celebrate.,I unlocked the silver badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],10,2,challenges_participate_Active_silver
Challenge ,Participated Challenge,Participate,Active,You participated in 20 challenges ,4,Gold,"Congratulations, you've participated in 40 challenges. Here's a gold medal to celebrate!","Woohoo, I unlocked the gold badge for participating in 40 @AIcrowdHQ challenges! Check out my profile to know more [link]",40,3,challenges_participate_Active_gold
Challenge ,Made Submission,Submit,Active,You made 40 submissions,3,Bronze,"Good job, you've made 40 submission unlocking bronze badge.",I have made 40 submissions on @AIcrowdHQ and unlocked the bronze badge! ,40,1,challenges_submit_Active_bronze
Challenge ,Made Submission,Submit,Active,You made 80 submissions,4,Silver,"Good job, you've made 80 submission unlocking silver badge.",I have made 80 submissions on @AIcrowdHQ and unlocked the silver badge! ,80,2,challenges_submit_Active_silver
Challenge ,Made Submission,Submit,Active,You made 120 submissions,5,Gold,"Woohoo, you've made 120 submission unlocking bronze badge.","Woohoo, I have made 120 submissions on @AIcrowdHQ and unlocked the gold badge! ",120,3,challenges_submit_Active_gold
Challenge ,Made Successful Submission,Successful Submission,Active,You made 20 successful submissions,3,Bronze,Baby steps! You've made 20 submission unlocking bronze badge. Keep them coming!,I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],20,1,challenges_successful_submission_Active_bronze
Challenge ,Made Successful Submission,Successful Submission,Active,You made 50 successful submissions,4,Silver,"Keep it up, you've made 50 submissions. You've unlocked the silver badge. ",I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],50,2,challenges_successful_submission_Active_silver
Challenge ,Made Successful Submission,Successful Submission,Active,You made 80 successful submissions,5,Gold,"Good job, you've made 80 submissions. Here's your gold badge. ",I unlocked gold badge for making 80 successful submissions. Know more about my journey here [link],80,3,challenges_successful_submission_Active_gold
Challenge ,Third On Leaderboard,Win,Active,Finished third on leaderboard,3,Bronze,"Good job, you are top third participant on the leaderboard. Woohoo, here's your bronze badge!",I received a bronze badge for being the top third participant on leaderboard. Find my code here [link],3,1,challenges_Win_Active_bronze
Challenge ,Second On Leaderboard,Win,Active,Finished second on leaderboard,4,Silver,"Good job, you are second on the leaderboard. Woohoo, here's your silver badge!",I received a silver badge for being the second participant on leaderboard. Find my code here [link],2,2,challenges_Win_Active_silver
Challenge ,First On Leaderboard,Win,Active,Finished first on leaderboard ,5,Gold,"Good job, you are number one participant on the leaderboard. Woohoo, here's your gold badge!",I received a gold badge for being the number one participant on leaderboard. Find my winning code here [link],1,3,challenges_Win_Active_gold
Practice Problem,Liked Practice Challenge,Like,Active,You liked 10 practice problem,1,Bronze,You liked 10 practice problem,N/A,10,1,practice_problem_like_Active_bronze
Practice Problem,Liked Practice Challenge,Like,Active,You liked 20 practice problem,2,Silver,You liked 20 practice problem,N/A,20,2,practice_problem_like_Active_silver
Practice Problem,Liked Practice Challenge,Like,Active,You liked 30 practice problem,2,Gold,You liked 30 practice problem,@AIcrowdHQ has a great collection of practise problems. Check out some of my liked challenges over here [link],30,3,practice_problem_like_Active_gold
Practice Problem,Shared Practice Challenge,Share,Active,You shared 5 practice problem,1,Bronze,You shared 5 practice problem,N/A,5,1,practice_problem_Share_Active_bronze
Practice Problem,Shared Practice Challenge,Share,Active,You shared 15 practice problem,2,Silver,You shared 15 practice problem,N/A,15,2,practice_problem_Share_Active_silver
Practice Problem,Shared Practice Challenge,Share,Active,You shared 35 practice problem,2,Gold,You shared 35 practice problem,I unlocked the gold badge for sharing cool practise problems on @AIcrowdHQ. Here are some of my favourites [link],35,3,practice_problem_Share_Active_gold
Practice Problem,Followed Practice Challenge,Follow,Active,You followed 10 practice problem,1,Bronze,You followed 10 practice problem,N/A,10,1,practice_problem_follow_Active_bronze
Practice Problem,Followed Practice Challenge,Follow,Active,You followed 20 practice problem,2,Silver,You followed 20 practice problem,N/A,20,2,practice_problem_follow_Active_silver
Practice Problem,Followed Practice Challenge,Follow,Active,You followed 40 practice problem,2,Gold,You followed 40 practice problem,I unlocked the gold badge for following interesting AI practise problems on @AIcrowdHQ. Here are some of my favourites [link],40,3,practice_problem_follow_Active_gold
Practice Problem,Participated Practice Challenge,Participate,Active,You participated in 10 practice problem,2,Bronze,Big moves! You have participated in 10 practice problem! Here's a bronze medal to celebrate!,I unlocked the bronze badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],10,1,practice_problem_participate_Active_bronze
Practice Problem,Participated Practice Challenge,Participate,Active,You participated in 20 practice problem,3,Silver,Keep it up! You've participated in 20 practice problem. Here's a silver medal to celebrate.,I unlocked the silver badge for participating in 20 @AIcrowdHQ practise problems. Check out my profile to know more [link],20,2,practice_problem_participate_Active_silver
